Fold,Model,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,ErrorRate,BACC,TSS,HSS,AUC,BS,BSS
1,RandomForest,3.0,468.0,18.0,22.0,25.0,486.0,0.12,0.9629629629629629,0.037037037037037035,0.88,0.14285714285714285,0.12,0.13043478260869565,0.9217221135029354,0.07827788649706457,0.5414814814814815,0.08296296296296296,0.08977556109725686,0.8355555555555555,0.05974484749869102,-0.2840028249963529
1,SVM_RBF,13.0,392.0,94.0,12.0,25.0,486.0,0.52,0.8065843621399177,0.1934156378600823,0.48,0.12149532710280374,0.52,0.19696969696969696,0.7925636007827789,0.20743639921722112,0.6632921810699588,0.3265843621399177,0.1277897652249525,0.7588477366255144,0.08690164399225456,-0.8676414963704926
1,Conv1D,21.0,342.0,144.0,4.0,25.0,486.0,0.84,0.7037037037037037,0.2962962962962963,0.16,0.12727272727272726,0.84,0.22105263157894736,0.7103718199608611,0.2896281800391389,0.7718518518518518,0.5437037037037037,0.14871679423683026,0.8340329218106995,0.18086696705303726,-2.8870916299470046
2,RandomForest,3.0,472.0,14.0,22.0,25.0,486.0,0.12,0.9711934156378601,0.02880658436213992,0.88,0.17647058823529413,0.12,0.14285714285714285,0.9295499021526419,0.07045009784735812,0.5455967078189301,0.09119341563786007,0.10751018823986028,0.740246913580247,0.06374243576704461,-0.36991675472645613
2,SVM_RBF,11.0,401.0,85.0,14.0,25.0,486.0,0.44,0.8251028806584362,0.1748971193415638,0.56,0.11458333333333333,0.44,0.18181818181818182,0.8062622309197651,0.19373776908023488,0.6325514403292181,0.26510288065843624,0.11295611158843435,0.714238683127572,0.08829684016701116,-0.8976262717078274
2,Conv1D,17.0,353.0,133.0,8.0,25.0,486.0,0.68,0.7263374485596708,0.2736625514403292,0.32,0.11333333333333333,0.68,0.19428571428571428,0.7240704500978473,0.2759295499021527,0.7031687242798355,0.40633744855967086,0.12052487030820873,0.7894650205761317,0.16717531043209924,-2.592838208669971
3,RandomForest,2.0,471.0,15.0,23.0,25.0,486.0,0.08,0.9691358024691358,0.030864197530864196,0.92,0.11764705882352941,0.08,0.09523809523809523,0.9256360078277887,0.07436399217221135,0.5245679012345679,0.049135802469135806,0.057927420919852514,0.8218106995884774,0.061577946434841914,-0.32339876140019275
3,SVM_RBF,15.0,396.0,90.0,10.0,25.0,486.0,0.6,0.8148148148148148,0.18518518518518517,0.4,0.14285714285714285,0.6,0.23076923076923078,0.8043052837573386,0.19569471624266144,0.7074074074074074,0.4148148148148148,0.16475972540045766,0.808559670781893,0.08098101928977547,-0.7403987438654687
3,Conv1D,21.0,328.0,158.0,4.0,25.0,486.0,0.84,0.6748971193415638,0.32510288065843623,0.16,0.11731843575418995,0.84,0.20588235294117646,0.6829745596868885,0.31702544031311153,0.7574485596707818,0.5148971193415637,0.13129892752954017,0.8281481481481481,0.19028828463100994,-3.089569314496618
4,RandomForest,2.0,469.0,17.0,23.0,25.0,486.0,0.08,0.9650205761316872,0.03497942386831276,0.92,0.10526315789473684,0.08,0.09090909090909091,0.9217221135029354,0.07827788649706457,0.5225102880658437,0.045020576131687244,0.05080338070028792,0.7921810699588477,0.06016173165077113,-0.2929622658749791
4,SVM_RBF,13.0,398.0,88.0,12.0,25.0,486.0,0.52,0.8189300411522634,0.18106995884773663,0.48,0.12871287128712872,0.52,0.20634920634920634,0.8043052837573386,0.19569471624266144,0.6694650205761317,0.3389300411522634,0.13880275043818255,0.7753909465020576,0.08606774162761079,-0.849719733460357
4,Conv1D,19.0,348.0,138.0,6.0,25.0,486.0,0.76,0.7160493827160493,0.2839506172839506,0.24,0.12101910828025478,0.76,0.2087912087912088,0.7181996086105675,0.28180039138943247,0.7380246913580246,0.4760493827160494,0.1358511837655017,0.7928395061728396,0.174715794741121,-2.754894077250718
5,RandomForest,1.0,465.0,21.0,24.0,25.0,486.0,0.04,0.9567901234567902,0.043209876543209874,0.96,0.045454545454545456,0.04,0.0425531914893617,0.9119373776908023,0.0880626223091977,0.4983950617283951,-0.0032098765432098733,-0.0034035868569184447,0.8277366255144032,0.06107213078119984,-0.31252805446235987
5,SVM_RBF,15.0,394.0,92.0,10.0,25.0,486.0,0.6,0.8106995884773662,0.18930041152263374,0.4,0.14018691588785046,0.6,0.22727272727272727,0.8003913894324853,0.19960861056751467,0.705349794238683,0.4106995884773662,0.16070335899004862,0.805514403292181,0.08453431309631453,-0.816764145680883
5,Conv1D,20.0,333.0,153.0,5.0,25.0,486.0,0.8,0.6851851851851852,0.3148148148148148,0.2,0.11560693641618497,0.8,0.20202020202020202,0.6908023483365949,0.30919765166340507,0.7425925925925927,0.4851851851851852,0.12742088881203528,0.8053497942386831,0.17633708606239562,-2.7897379629381702
6,RandomForest,5.0,465.0,21.0,20.0,25.0,486.0,0.2,0.9567901234567902,0.043209876543209874,0.8,0.19230769230769232,0.2,0.19607843137254902,0.9197651663405088,0.08023483365949124,0.578395061728395,0.15679012345679014,0.15387100682524937,0.8084773662551441,0.06206415901387491,-0.3338481700297957
6,SVM_RBF,12.0,397.0,89.0,13.0,25.0,486.0,0.48,0.8168724279835391,0.1831275720164609,0.52,0.1188118811881188,0.48,0.19047619047619047,0.8003913894324853,0.19960861056751467,0.6484362139917695,0.2968724279835391,0.1215788054469462,0.7647736625514403,0.08185274745157914,-0.7591334376381711
6,Conv1D,22.0,350.0,136.0,3.0,25.0,486.0,0.88,0.720164609053498,0.27983539094650206,0.12,0.13924050632911392,0.88,0.24043715846994534,0.7279843444227005,0.27201565557729945,0.800082304526749,0.600164609053498,0.17034796117412077,0.82559670781893,0.1714441623553659,-2.684581985053124
7,RandomForest,3.0,475.0,11.0,22.0,25.0,486.0,0.12,0.977366255144033,0.02263374485596708,0.88,0.21428571428571427,0.12,0.15384615384615385,0.9354207436399217,0.06457925636007833,0.5486831275720165,0.09736625514403291,0.12304331998543866,0.7995884773662552,0.05742316011943604,-0.2341064192219955
